,date,NAV,NavperUnit,sellingPrice,redemptionPrice,change,FundName
1469,2017-01-30,11089335652.87,10.8151,10.8152,10.8151,0.001,B-TREASURY : Bualuang Treasury Fund
1470,2017-01-27,11069054601.69,10.8141,10.8142,10.8141,0.0003,B-TREASURY : Bualuang Treasury Fund
1471,2017-01-26,11453405594.47,10.8138,10.8139,10.8138,0.0003,B-TREASURY : Bualuang Treasury Fund
1472,2017-01-25,11386007948.12,10.8135,10.8136,10.8135,0.0004,B-TREASURY : Bualuang Treasury Fund
1473,2017-01-24,11346708463.49,10.8131,10.8132,10.8131,0.0003,B-TREASURY : Bualuang Treasury Fund
1474,2017-01-23,11433592263.64,10.8128,10.8129,10.8128,0.001,B-TREASURY : Bualuang Treasury Fund
1475,2017-01-20,11344579465.94,10.8118,10.8119,10.8118,0.0004,B-TREASURY : Bualuang Treasury Fund
1476,2017-01-19,11359517327.67,10.8114,10.8115,10.8114,0.0003,B-TREASURY : Bualuang Treasury Fund
1477,2017-01-18,11278094516.27,10.8111,10.8112,10.8111,0.0004,B-TREASURY : Bualuang Treasury Fund
1478,2017-01-17,11207104112.15,10.8107,10.8108,10.8107,0.0003,B-TREASURY : Bualuang Treasury Fund
1479,2017-01-16,11183746770.54,10.8104,10.8105,10.8104,0.0011,B-TREASURY : Bualuang Treasury Fund
1480,2017-01-13,11142692639.96,10.8093,10.8094,10.8093,0.0003,B-TREASURY : Bualuang Treasury Fund
1481,2017-01-12,11064756667.04,10.809,10.8091,10.809,0.0003,B-TREASURY : Bualuang Treasury Fund
1482,2017-01-11,11069443489.34,10.8087,10.8088,10.8087,0.0004,B-TREASURY : Bualuang Treasury Fund
1483,2017-01-10,11059950985.31,10.8083,10.8084,10.8083,0.0003,B-TREASURY : Bualuang Treasury Fund
1484,2017-01-09,11010469337.82,10.808,10.8081,10.808,0.0011,B-TREASURY : Bualuang Treasury Fund
1485,2017-01-06,11081079501.1,10.8069,10.807,10.8069,0.0004,B-TREASURY : Bualuang Treasury Fund
1486,2017-01-05,11082336293.14,10.8065,10.8066,10.8065,0.0003,B-TREASURY : Bualuang Treasury Fund
1487,2017-01-04,10922740220.6,10.8062,10.8063,10.8062,0.0017,B-TREASURY : Bualuang Treasury Fund
1488,2016-12-30,10426635491.96,10.8045,10.8046,10.8045,0.0002,B-TREASURY : Bualuang Treasury Fund
1489,2016-12-29,10072475464.58,10.8043,10.8044,10.8043,0.0003,B-TREASURY : Bualuang Treasury Fund
1490,2016-12-28,9821012187.57,10.804,10.8041,10.804,0.0005,B-TREASURY : Bualuang Treasury Fund
1491,2016-12-27,10121241125.45,10.8035,10.8036,10.8035,0.0003,B-TREASURY : Bualuang Treasury Fund
1492,2016-12-26,10093619556.04,10.8032,10.8033,10.8032,0.001,B-TREASURY : Bualuang Treasury Fund
1493,2016-12-23,9954110197.12,10.8022,10.8023,10.8022,0.0003,B-TREASURY : Bualuang Treasury Fund
1494,2016-12-22,9872597770.54,10.8019,10.802,10.8019,0.0004,B-TREASURY : Bualuang Treasury Fund
